1	2011	2	12	2525.69
2	2016	3	29	3777
3	2009	4	11	4678.33
4	2009	12	9	7493.2
5	2014	6	1	8274.56
6	2015	5	20	4888.78
7	2015	1	6	1944.08
8	2010	6	25	7380.07
9	2016	7	17	1200.07
10	2015	2	24	1484.05
11	2012	5	26	8803.24
12	2014	6	4	4786.73
13	2010	1	13	4506.48
14	2014	1	6	9945.81
15	2016	10	26	1886.05
16	2012	10	9	7371.63
17	2011	6	19	5287.68
18	2007	2	7	1035.92
19	2010	4	29	9736.79
20	2015	6	20	2988.91
21	2006	10	10	6471.52
22	2014	3	27	8254.22
23	2007	10	26	4823.78
24	2010	12	21	1510.41
25	2007	2	26	6254.05
26	2005	3	5	3697.41
27	2006	12	29	994.274
28	2006	6	30	828.896
29	2005	3	26	7385.05
30	2005	11	6	4245.79
31	2011	7	11	9221.56
32	2015	10	19	4440.94
33	2011	9	2	9470.84
34	2014	3	1	9520.87
35	2006	12	14	5342.58
36	2008	7	30	1677.48
37	2010	12	16	6530.97
38	2016	10	1	9961.11
39	2010	1	8	9096.63
40	2010	6	17	4706.23
41	2008	5	29	7480.78
42	2005	8	16	566.245
43	2005	10	16	5317.58
44	2014	7	1	2767.78
45	2005	1	2	8125.92
46	2007	4	10	3249.21
47	2013	11	26	5043.97
48	2005	9	27	6737.79
49	2015	10	13	334.776
50	2012	11	28	1375.33
51	2011	5	19	90.4559
52	2007	10	8	9751.44
53	2013	11	18	7850.32
54	2016	7	4	9469.18
55	2012	3	6	5754.11
56	2014	1	4	4668.53
57	2011	3	1	8018.79
58	2005	8	11	450.331
59	2006	4	28	2055.45
60	2015	4	29	1033.43
61	2006	6	28	2760.92
62	2015	3	24	1948.59
63	2013	2	4	5670.8
64	2009	7	18	6063.29
65	2007	9	6	6657.64
66	2011	11	23	7378.5
67	2010	3	16	4930.67
68	2011	2	14	8056.2
69	2012	10	5	7247.11
70	2016	1	2	6656.97
71	2010	8	30	7485.74
72	2013	11	10	9071.25
73	2012	8	31	9233.26
74	2008	3	19	4457.69
75	2005	8	3	9513.05
76	2005	1	22	8292.56
77	2006	10	11	7874.51
78	2015	1	20	3882.27
79	2010	5	15	6524.55
80	2005	2	1	2369.65
81	2009	6	30	1803.9
82	2006	9	23	6433.31
83	2006	8	3	5316.6
84	2013	5	25	1624.05
85	2010	11	8	7557.45
86	2009	5	13	9447.95
87	2005	1	25	5526.26
88	2011	9	23	4420.76
89	2013	4	21	6928.88
90	2009	1	4	1081.13
91	2008	3	30	8622.37
92	2016	1	26	2330.17
93	2012	2	16	2768.71
94	2010	8	16	6395.88
95	2009	6	6	8319.91
96	2013	9	21	2147.34
97	2014	10	2	795.212
98	2013	2	14	2397.71
99	2016	3	30	7169.74
100	2012	7	5	8012.08
