1	702412	1	c	3	83	3563	1	17	12	6637.43
2	530579	1	p	1	8	1280	3	58	51	8716.61
3	5784	1	s	1	12	1117	3	47	45	8070.33
4	800359	1	m	2	54	2466	1	16	10	2222.51
5	368386	1	d	2	59	2351	1	13	1	8441.68
6	936559	1	v	3	77	3203	1	4	3	4307.34
7	353756	1	j	1	41	1124	3	51	54	2438.85
8	979584	0	u	1	8	1707	1	2	13	7898.2
9	498729	1	o	3	96	3512	1	1	7	4094.99
10	443002	0	z	3	70	3207	2	26	38	4700.86
11	735530	1	k	3	67	3374	1	19	15	9237.58
12	599198	0	s	1	13	1977	2	30	32	3952.54
13	31909	1	t	1	8	416	1	9	11	2896.87
14	765463	1	h	1	48	685	2	40	32	8896.03
15	549937	1	y	3	75	2840	2	22	33	9373.47
16	986490	0	h	3	67	2748	1	4	15	6358.47
17	684736	0	h	2	52	2180	1	3	2	9575.54
18	615345	1	v	1	43	1365	2	29	27	1404.67
19	830854	1	i	1	8	526	1	9	15	2678.9
20	433060	0	t	1	4	1477	3	47	54	281.113
21	465931	1	t	1	23	1705	1	13	0	1131.24
22	276383	0	p	2	51	2351	2	35	36	5435.3
23	106991	1	d	3	88	3363	1	13	5	6638.21
24	835470	0	l	1	22	1410	3	60	53	2182.01
25	307164	0	n	2	59	2236	6	118	103	4132.94
26	236881	1	o	1	39	1534	2	35	21	7300.63
27	160453	0	c	1	38	389	1	20	14	7607.38
28	729956	0	p	3	65	3079	2	29	22	3043.99
29	28072	1	l	2	51	2154	3	55	59	1342.17
30	789669	1	m	2	60	2294	1	20	8	9731.3
31	392644	0	g	2	57	2364	3	51	53	6135.79
32	421474	1	g	1	4	490	2	25	30	1152.68
33	317611	1	b	1	27	176	3	60	41	6680.13
34	291044	0	n	3	100	3992	1	11	9	9855.02
35	331417	1	m	3	71	3209	3	50	43	4270.59
36	584293	0	b	1	3	1126	2	27	28	2565.3
37	503037	0	v	2	53	2336	1	6	6	7670.49
38	795041	1	p	1	32	1672	2	35	35	6666.56
39	494779	0	g	1	34	812	3	54	43	3181.57
40	271707	1	x	1	42	1410	3	52	56	6328.85
41	894705	1	u	2	56	2120	2	24	37	6513.71
42	593707	1	f	1	1	203	2	38	23	1885.54
43	33969	0	n	1	13	1916	6	103	111	9084.35
44	64026	1	w	3	70	3087	2	29	27	5125.29
45	72351	0	g	2	51	2311	3	46	51	9403.11
46	803647	1	n	3	74	2797	2	21	28	5876.08
47	924574	1	p	2	54	2441	1	8	4	5846.62
48	418617	0	y	3	83	2984	1	4	8	8265.23
49	371886	0	j	3	70	2904	3	42	41	473.055
50	63416	0	f	1	33	1797	3	42	47	8028.57
51	609567	1	g	3	76	3204	2	32	34	9850.05
52	986418	1	k	2	52	2259	2	29	36	2369.83
53	974635	1	g	1	34	1454	1	20	19	5844.58
54	985510	0	w	3	78	3857	2	22	38	3754.82
55	734077	1	k	2	59	2257	3	44	46	982.378
56	83347	1	y	3	97	3772	3	53	50	2378.88
57	184385	1	g	3	78	3358	2	27	24	8890.44
58	155899	1	w	1	34	402	3	55	42	4461.92
59	141866	1	k	3	94	3768	1	20	12	4971
60	764679	1	k	1	50	1172	3	46	52	6798.99
61	60583	1	p	1	18	343	1	8	4	9419.63
62	574234	0	g	2	56	2481	3	43	46	392.189
63	152206	0	h	3	67	2720	3	43	55	3023.7
64	931281	1	h	1	1	1347	2	28	38	6556.52
65	546263	0	y	3	64	3386	3	53	53	4048.33
66	34592	0	r	2	55	2417	2	25	39	1043.39
67	623717	1	l	2	53	2482	2	35	30	5687.58
68	121466	1	g	2	59	2387	2	25	36	7355.26
69	984536	0	w	2	55	2284	3	56	48	1050.7
70	913425	1	t	2	60	2239	2	32	25	1497.9
71	516238	0	c	3	77	3006	2	34	30	7668.9
72	122797	0	i	1	3	385	1	10	2	1895.74
73	161939	1	i	3	88	2563	7	124	127	6377.37
74	443102	1	k	3	91	3424	3	57	52	4151.27
75	40022	1	a	1	3	1233	1	13	1	502.998
76	389569	1	m	2	59	2081	3	52	56	4417.97
77	290516	1	n	3	79	3359	1	10	12	7638.73
78	407525	1	y	1	10	996	3	50	55	5545.39
79	141199	1	m	3	83	3662	3	51	47	5296.62
80	36830	1	i	3	67	2896	3	53	51	6024.06
81	632087	0	t	2	59	2046	1	3	5	8317.26
82	811895	1	l	2	53	2467	2	26	26	2761.97
83	38645	1	a	2	51	2211	3	60	55	8325.84
84	231879	0	n	1	49	773	2	34	22	7859.6
85	630893	1	b	1	22	285	3	56	42	7862.62
86	712500	0	v	2	55	2405	7	138	130	3407.47
87	926899	1	v	3	90	3155	1	6	12	5376.72
88	647713	1	h	3	100	3406	1	6	1	6823.1
89	590704	0	a	1	40	1578	1	6	14	5238.42
90	209852	1	z	3	70	2836	3	49	48	3946.51
91	903664	1	w	3	80	2776	1	8	17	3885.78
92	823946	1	a	3	72	3681	2	33	31	1468.69
93	435644	0	w	1	29	421	1	16	8	5676.45
94	413978	0	c	1	18	690	3	55	48	2859.65
95	216181	1	j	1	14	500	6	114	105	1020.96
96	926389	1	z	1	29	1434	2	26	35	7540.3
97	980306	0	h	3	94	2715	2	27	39	2621.75
98	368963	1	z	2	55	2018	3	55	48	4604.75
99	196960	1	a	3	69	3075	9	178	171	8171.35
100	586694	1	m	2	54	2369	3	53	49	8944.11
