1	706959	2	37	2473	1099.5
2	923288	1	5	641	7203.16
3	345286	2	23	2749	2107.69
4	395548	3	47	4723	7070.01
5	565135	1	7	1492	8474.86
6	703909	1	6	1958	1987.68
7	696762	1	19	1934	239.564
8	635558	3	46	4638	4840.18
9	897978	10	190	18320	3531.23
10	932087	2	33	3049	3991.95
11	270025	1	1	1241	1550.67
12	209162	3	55	4894	6186.09
13	957203	1	14	1298	467.997
14	562109	1	5	738	920.98
15	890406	1	15	296	9262.63
16	696416	1	4	215	2786.61
17	460581	3	51	5355	3397.66
18	439009	1	11	159	6699.55
19	929227	1	4	182	6668.64
20	986044	1	5	782	8143.58
21	909140	6	109	11013	4721.08
22	713454	1	3	621	5407.07
23	663799	2	34	3449	2866.19
24	213051	3	42	5766	1734.93
25	897295	1	19	63	7636.47
26	612981	2	37	3329	7801.57
27	107038	2	21	2088	1161.78
28	610447	8	154	15603	1690.61
29	403040	1	3	1502	6723.82
30	719488	2	27	2344	7643
31	588227	2	39	2016	6534.05
32	770311	2	31	3848	2212.58
33	680798	1	7	1448	6652.72
34	231562	2	33	3243	3494.28
35	835881	1	20	694	1338.69
36	944045	9	179	16756	6739.99
37	904382	1	8	810	7634.51
38	321937	1	10	147	4274.55
39	236473	3	54	4300	2105.85
40	302347	3	60	5974	1772.93
41	763841	1	1	1572	436.095
42	944827	1	11	226	6636.73
43	348750	2	28	2733	1001.06
44	488845	3	45	5528	6362.17
45	891071	2	28	3133	1968.61
46	650895	3	58	4439	2281.14
47	913300	2	29	3794	829.133
48	524484	2	23	2254	2353.46
49	461057	1	13	68	397.67
50	364038	2	23	2977	5128.57
51	582600	4	77	7297	2082.15
52	464038	1	3	712	6900.13
53	43328	9	167	17417	6402.67
54	975349	3	41	5679	6670.4
55	934723	2	32	2664	2642.6
56	410099	2	37	3158	2369.68
57	723173	1	6	1536	8532.5
58	568041	1	2	344	9017.11
59	63760	10	183	19995	7034.95
60	637396	2	35	3562	7343.91
61	909717	1	3	979	4631.58
62	290543	2	36	2543	8444.38
63	475063	1	14	1305	6103.22
64	681671	3	44	5007	9063.98
65	824991	2	34	3246	1564.33
66	174070	3	54	4141	9905.8
67	678686	2	35	2826	4766.66
68	324585	3	41	4557	5143.47
69	638009	1	11	618	369.711
70	373782	4	75	7967	9393.14
71	45723	3	46	4348	1998.54
72	941594	3	42	4309	78.1167
73	290726	1	15	200	5630.36
74	941023	2	38	3328	1167.38
75	22790	3	54	4179	232.982
76	573681	1	8	354	4102.2
77	575471	2	33	2296	1323.78
78	877240	1	2	1846	1361.45
79	190063	3	47	5445	6012.94
80	940518	2	34	2541	277.281
81	26746	3	49	5164	5475.15
82	86766	3	46	5007	8595.24
83	24618	3	57	4012	2303.34
84	218081	2	40	3366	7584
85	434076	1	15	821	6584.93
86	288516	3	51	5455	5962.88
87	820580	2	38	2717	3801.01
88	354152	1	10	1445	1.68313
89	828842	3	51	4181	7179.63
90	797899	1	14	1372	7472.38
91	825909	1	9	179	7079.87
92	134881	1	11	1174	1267.51
93	305468	10	193	18543	225.743
94	406659	3	41	5936	3403.62
95	464181	3	53	4097	7971.83
96	261035	1	12	927	6625.34
97	205201	1	13	934	3888.45
98	312392	1	8	35	9025.73
99	537464	3	52	4155	3267.7
100	27591	1	18	537	9761.92
