1	268118	l	1	3	63	3274	2	31	6	135.648
2	827744	x	0	1	24	859	1	6	2	362.273
3	726990	u	1	3	95	2537	5	99	18	265.58
4	610629	z	1	1	42	716	3	54	10	632.048
5	833115	m	1	2	59	2292	3	41	8	533.392
6	712094	g	0	3	93	3913	2	32	6	141.458
7	488577	w	1	2	53	2093	4	78	12	974.54
8	89810	e	1	3	74	3890	2	25	5	714.868
9	788826	d	1	2	56	2166	3	46	8	186.246
10	235205	v	0	1	6	1420	1	8	2	23.689
11	141492	y	1	3	74	3903	2	23	7	63.7226
12	985649	c	1	2	57	2148	3	52	9	938.597
13	995423	x	1	1	42	776	1	14	0	682.467
14	224504	m	0	1	21	1810	3	60	10	789.42
15	780488	t	1	2	57	2351	2	23	7	746.001
16	41162	p	1	3	67	3998	8	142	30	358.135
17	182710	p	1	3	68	2685	2	34	5	204.39
18	184776	f	0	1	24	236	2	29	4	661.578
19	135082	q	0	2	55	2424	10	183	37	938.55
20	216692	d	0	1	48	1460	3	59	9	804.628
21	384292	e	1	1	47	412	1	20	1	919.945
22	508543	s	1	1	9	1520	2	31	6	580.663
23	208208	f	0	1	15	729	1	10	1	795.06
24	566554	z	0	1	23	1611	1	9	1	833.116
25	187883	p	0	2	53	2243	2	35	4	450.422
26	247741	v	0	1	29	1345	3	42	11	831.818
27	360053	s	0	2	56	2453	1	11	3	682.021
28	735099	c	0	1	24	13	10	196	37	96.1138
29	384944	l	0	3	92	3624	1	8	0	401.019
30	925335	i	0	1	50	279	1	12	0	524.735
31	215577	w	0	1	16	44	2	29	4	190.133
32	558395	s	1	1	2	1451	2	27	7	948.997
33	789867	b	1	2	57	2307	2	29	4	208.125
34	963246	x	0	1	36	422	2	32	4	995.849
35	233467	t	1	1	41	192	3	48	8	529.951
36	882151	z	0	1	22	668	2	23	5	843.668
37	535265	j	1	1	6	1081	3	42	10	994.658
38	213654	f	0	2	59	2297	3	57	9	775.599
39	485443	p	0	3	94	3832	1	5	3	734.307
40	500032	l	0	2	55	2181	2	33	5	960.021
41	80866	y	1	2	52	2042	1	12	2	282.576
42	251271	v	1	2	56	2382	2	36	5	540.709
43	690698	v	1	1	21	1552	3	48	10	712.976
44	993935	o	1	3	81	2789	1	6	1	516.928
45	6332	e	0	3	76	3497	1	5	2	161.134
46	175734	f	1	3	84	3791	3	42	9	433.311
47	660877	c	0	1	47	1184	2	26	4	167.259
48	123349	d	1	2	55	2259	8	158	30	509.022
49	128560	n	1	3	69	3613	2	36	7	149.571
50	834667	z	0	1	26	1245	2	33	5	620.482
51	444533	p	0	2	54	2022	3	44	8	199.991
52	254638	q	1	3	89	3376	1	16	3	374.967
53	62514	g	1	1	22	533	2	37	6	912.386
54	466003	c	0	1	41	1483	1	3	2	506.613
55	647087	l	1	3	79	2762	1	14	3	618.733
56	47963	e	0	3	64	3965	2	24	6	756.398
57	785893	j	0	3	94	3093	1	14	3	714.519
58	916255	q	1	1	46	1547	3	48	9	828.926
59	766846	w	0	3	92	3193	3	60	8	482.871
60	618156	n	1	1	5	477	1	9	3	792.847
61	378245	j	1	1	21	893	1	14	1	509.647
62	638341	p	0	2	53	2014	2	30	4	329.357
63	502461	m	0	3	77	2593	2	26	4	922.294
64	82	p	1	3	93	3756	2	21	5	611.172
65	967636	e	0	2	56	2412	2	25	4	985.047
66	676743	e	0	3	96	3720	3	55	8	823.87
67	775380	m	1	2	53	2467	9	161	32	404.018
68	335887	p	1	3	84	3487	3	60	8	891.865
69	582930	o	1	1	46	825	3	48	11	795.689
70	148251	h	0	2	52	2053	1	5	3	905.924
71	856267	f	0	1	21	679	3	42	11	965.555
72	81909	w	0	2	55	2208	2	36	6	483.371
73	11162	x	0	1	11	578	3	53	8	389.147
74	389648	l	1	1	37	927	1	5	3	192.004
75	14835	n	1	2	56	2488	1	17	1	824.03
76	471399	x	0	3	75	3661	4	73	13	478.119
77	748038	b	1	1	50	501	3	58	11	639.004
78	733925	t	0	3	86	2966	2	35	7	230.473
79	557617	b	1	3	95	3856	3	56	9	405.876
80	564540	t	0	2	59	2050	3	43	11	530.162
81	436497	r	1	1	34	1297	3	51	11	622.36
82	3757	y	1	1	36	1767	2	25	7	396.827
83	468954	l	1	1	29	593	2	23	5	484.066
84	690610	u	0	3	77	3193	3	41	10	291.617
85	209927	d	1	3	84	3484	3	48	10	199.898
86	684238	z	1	2	53	2164	3	44	10	571.932
87	453156	j	1	1	5	549	1	3	1	683.216
88	817798	i	0	1	10	1695	3	60	9	107.885
89	220846	b	1	3	98	3004	2	23	5	587.759
90	460373	f	1	1	32	381	9	166	32	625.797
91	776238	g	0	2	56	2447	1	9	3	179.375
92	750013	q	0	3	70	3823	1	8	3	708.24
93	384741	f	1	3	74	2628	3	48	9	89.5423
94	937773	q	0	1	49	408	1	18	2	335.316
95	659913	z	1	1	26	33	3	48	10	503.059
96	909123	m	1	1	31	1261	1	2	0	801.07
97	589172	z	0	1	15	1207	2	33	7	40.0627
98	334080	d	0	3	99	3980	2	35	6	715.467
99	856323	m	1	3	95	3693	3	60	8	1.09678
100	433597	y	1	2	58	2366	1	20	2	936.974
101	729652	a	0	2	53	2465	1	14	0	792.03
102	647874	m	1	3	99	3043	10	196	36	529.717
103	948149	a	1	1	33	619	2	40	4	112.595
104	380994	e	1	1	4	883	3	51	11	75.5467
105	713733	c	0	1	32	1146	1	19	0	311.395
106	616789	b	1	2	60	2336	3	59	8	598.08
107	933796	n	1	2	52	2038	3	56	8	402.857
108	815818	w	1	3	99	3361	3	54	8	17.6907
109	327878	t	1	1	3	885	9	180	32	830.562
110	262431	v	1	2	56	2219	3	43	11	695.505
111	349789	a	1	3	77	3848	2	34	7	808.013
112	268739	h	0	3	70	3361	2	30	6	903.669
113	959375	z	1	3	89	3780	1	6	3	416.673
114	21275	p	1	1	9	1921	2	32	4	599.805
115	920727	x	0	3	93	3401	3	47	9	85.5835
116	402326	y	0	2	57	2362	2	37	6	88.5846
117	840748	n	0	1	19	1913	2	34	6	897.118
118	858999	s	0	2	54	2305	6	120	22	527.882
119	116409	h	1	1	32	765	3	50	8	424.516
120	835287	o	1	2	57	2476	1	15	3	152.952
121	659422	k	0	2	54	2495	2	29	6	701.489
122	925020	d	0	2	52	2057	2	26	4	230.255
123	902179	b	1	2	59	2147	3	50	10	199.048
124	399713	j	1	3	89	3429	2	31	4	726.811
125	514865	k	1	3	62	3408	3	52	8	634.984
