1	269808	3	55	297.8	1313
2	811091	3	43	228	293
3	664193	2	34	169.7	111
4	844352	2	40	146.5	8002
5	903960	2	36	194.75	6318
6	840807	2	24	140.5	7228
7	239928	2	36	147.25	8249
8	256398	1	1	75.45	5452
9	193514	1	1	25.15	6145
10	282731	2	23	100.7	7983
11	274966	2	22	109.6	4146
12	907495	7	130	696.6	2233
13	893644	3	57	254.1	3876
14	883363	2	30	173.1	9044
15	242542	3	53	215.7	7696
16	246809	2	21	192.85	790
17	597363	1	14	31.7	687
18	312993	3	60	209.2	1178
19	605299	3	43	219.55	7824
20	441903	1	3	88.1	7490
21	199151	9	178	830	5517
22	412485	2	25	134	7355
23	343573	3	54	289.2	5731
24	175865	2	31	167.95	1108
25	649336	2	33	176	6259
26	708641	3	50	215.55	2710
27	814487	3	54	241.95	7523
28	653516	2	37	150.2	4338
29	243948	1	11	36.7	250
30	993794	3	43	234.7	2651
31	271756	1	14	94.65	1322
32	920235	2	35	197.85	8219
33	716530	3	53	287.85	3232
34	884588	2	28	102.85	8320
35	521499	2	37	118	8123
36	30980	8	152	740.45	79
37	632297	2	26	163.3	1928
38	339980	1	9	35.6	8843
39	9355	2	24	171.9	2099
40	574525	3	53	230.6	9393
41	204169	3	51	244.25	8044
42	698206	1	2	77.05	3501
43	79337	2	34	163	9404
44	338634	2	23	174.6	7046
45	590929	1	4	11.4	3899
46	976085	3	57	259.85	7880
47	597210	3	52	238.35	7195
48	507373	1	16	65.5	9996
49	592772	1	3	87.6	1119
50	172896	2	38	131.35	5821
51	376271	3	41	239.9	5028
52	900519	3	42	217.45	4985
53	486905	3	41	203.2	5773
54	893098	1	14	48.9	6679
55	401588	2	34	144.85	9808
56	357851	3	42	262.2	417
57	281918	3	54	213.7	5025
58	809513	1	8	1.6	6072
59	849953	1	12	79.6	4567
60	92703	2	34	153.85	1950
61	604024	1	2	86.85	5063
62	236382	2	27	126.45	5565
63	273671	2	27	105.15	2279
64	571205	1	6	63.45	7578
65	455261	1	2	92.25	8434
66	779854	2	29	108.8	2712
67	873282	3	48	267.1	5054
68	982342	2	30	101.45	8431
69	338844	1	6	63.65	4963
70	162558	3	49	262.05	9838
71	585540	2	38	196.45	5125
72	818935	3	48	232.5	7702
73	650826	2	21	121.25	689
74	795430	2	33	197.2	2933
75	122766	3	43	228.3	6028
76	293307	5	83	415.65	1449
77	656578	3	46	269.5	8074
78	806652	3	50	222.35	8474
79	626306	1	16	79.75	7424
80	353241	3	44	258.45	5784
81	407063	1	12	73.7	4515
82	625255	3	59	287.45	2790
83	270336	1	15	99.15	2441
84	702870	3	49	259.95	6975
85	620859	1	9	42.25	8494
86	243066	2	29	188.25	5126
87	125460	3	47	202.25	6682
88	550547	1	13	1.5	2817
89	459692	1	2	78.75	787
90	126144	3	58	247.6	8123
91	419811	1	13	95.7	6816
92	890478	1	1	69.75	898
93	279247	1	11	58.5	117
94	191557	1	1	40.75	4327
95	677294	2	37	158.95	9207
96	808999	1	8	63.7	1296
97	834233	2	38	121.95	9797
98	940385	1	17	52.95	2782
99	825018	8	158	743.55	9676
100	477644	2	31	192	5868
101	632386	8	156	784.85	4265
102	883423	3	54	241.4	1906
103	242739	3	41	205.35	1304
104	459465	1	14	1.8	9730
105	455157	3	46	239.55	783
106	337354	9	178	898.9	4596
107	819725	2	40	101.15	2117
108	811858	3	58	236.7	845
109	471846	1	11	43.25	170
110	855577	2	26	119.35	3998
111	753095	1	8	83.3	8951
112	186085	2	30	141.45	6916
113	732407	2	28	143.5	5012
114	134573	1	12	37.95	2613
115	566324	3	50	296.35	3986
116	82198	3	44	252.6	5263
117	248584	3	50	225.75	9005
118	414370	3	47	206.1	3791
119	399739	1	6	33.05	4794
120	455389	10	192	911.95	2537
121	171840	3	52	284.85	7450
122	615587	2	27	164.85	7321
123	771594	2	31	199.25	9968
124	753635	1	15	44.65	7411
125	518948	2	31	137.3	5589
126	895440	1	2	75.05	1113
127	128950	3	43	293.95	780
128	689259	4	69	365.5	6635
129	448932	2	26	177.8	7161
130	950086	1	19	53.9	1591
131	84821	2	39	194.25	6453
132	664960	2	32	143.6	9092
133	427530	2	29	149.75	1728
134	400742	2	35	146.15	7975
135	297265	3	57	253	7160
136	346807	3	54	230.75	5939
137	981747	1	9	99.8	1974
138	963374	2	27	113.2	9724
139	164724	1	8	50.1	1394
140	893958	1	7	96.3	4330
141	775604	1	12	56.55	6156
142	662756	2	32	191.7	8034
143	231119	3	45	204.35	3787
144	565425	1	20	66.9	4833
145	25487	3	57	222.8	6445
146	839742	2	36	164.75	8464
147	776555	3	47	283.1	6497
148	48873	3	42	210.5	2468
149	143340	3	41	285	4381
150	712815	7	123	668.3	5512
151	511571	2	37	146.2	6219
152	498881	2	24	144.8	2119
153	30139	2	27	188.75	3003
154	678856	2	30	190.75	828
155	744862	1	11	59.1	3588
156	769596	7	139	618.3	915
157	593642	2	32	120.55	9786
158	115038	2	28	153.05	855
159	163278	2	38	126.25	4931
160	762451	2	21	144.65	3134
161	942346	3	48	297.85	4795
162	410512	1	19	32.3	6346
163	731980	2	31	150.25	7313
164	825621	3	50	279.4	1365
165	853489	1	1	65.5	3566
166	324472	1	17	98.55	1021
167	380035	3	43	251.85	1578
168	539273	3	52	227.25	8085
169	505673	3	54	215.1	6441
170	67819	3	44	244.75	3388
171	961401	3	41	202.95	9276
172	206283	2	34	189.5	4979
173	457053	9	161	879	8553
174	623696	2	27	189.7	7258
175	848189	3	48	269.85	4362
176	193883	2	30	182.85	6397
177	801296	2	21	196.9	7087
178	342313	2	23	170.4	6056
179	830923	2	40	183.8	6618
180	833143	2	38	154.1	8829
181	908339	1	11	71.15	4829
182	933833	1	9	89.75	2652
183	957063	2	29	129	6308
184	934541	3	49	262.85	7861
185	903390	1	4	53.3	5913
186	935120	3	42	260.45	4389
187	698781	2	27	158.35	8520
188	293159	3	51	245.8	2870
189	388972	2	22	149.9	8576
190	313532	2	32	137.35	8176
191	621863	8	155	710.45	2652
192	534502	2	36	185.2	4621
193	890153	1	4	5.7	8472
194	859222	2	35	191.55	907
195	362282	1	9	22.65	4928
196	796048	3	46	245.65	6092
197	354600	3	43	282.05	6044
198	346693	2	35	179.5	3244
199	291195	2	30	128.3	4521
200	498352	1	17	91.65	4743
201	78310	1	14	69.55	7375
202	304106	8	146	728.7	4124
203	802457	2	30	195.2	1015
204	332520	1	16	100	7119
205	6872	3	49	276.9	7492
206	177138	5	99	498.95	4831
207	987712	3	53	211.7	4406
208	779520	2	36	120.4	529
209	190133	1	8	18.65	6834
210	420433	1	14	2.15	3329
211	67712	1	9	30.85	4263
212	686209	3	46	268.25	4525
213	545974	1	3	98.45	7733
214	168721	1	7	7.1	8863
215	774379	9	162	836.85	4544
216	237455	3	53	259.5	3359
217	200062	3	50	227.25	4583
218	790302	1	10	94.2	7759
219	354031	2	22	164.15	119
220	923639	3	60	230.95	8176
221	554886	1	6	87.35	5750
222	609671	2	30	169.35	8450
223	668426	2	37	180.65	3690
224	302165	1	5	47.65	4216
