1	141063	3	94	3407	6	112	11602	3039.9
2	160534	1	50	1960	3	50	5460	7765.94
3	219449	1	36	1702	3	41	4186	5525.29
4	362879	3	67	3668	8	141	15596	5381.82
5	224881	2	53	2080	2	40	3454	8281.53
6	760727	2	58	2490	3	58	4215	1811.09
7	907003	3	69	2607	2	24	3579	9768.91
8	613217	1	5	314	3	53	5265	908.758
9	348832	3	67	3364	6	117	10884	7286.63
10	643920	2	52	2279	3	52	5236	4701.69
11	130087	2	56	2195	3	46	5111	7794.12
12	583689	1	35	1905	1	11	836	6763.86
13	16137	1	17	1627	3	46	4288	145.23
14	88241	1	20	584	2	27	2207	9114.3
15	395892	3	68	3122	3	50	5250	4913.23
16	667846	2	58	2446	2	39	2263	4061.44
17	57166	3	76	3272	3	56	5037	5834.52
18	69783	3	93	3118	3	56	5251	1582.07
19	977307	2	56	2270	1	2	221	2270.96
20	808324	2	60	2446	2	35	2616	5780.4
21	112134	2	59	2444	2	35	3179	3985.93
22	151383	1	37	1986	2	37	3643	6542.65
23	237496	2	56	2475	2	34	3961	9494.47
24	357489	1	37	730	1	16	289	1778.65
25	369027	1	4	427	2	26	3704	9860.42
26	402109	1	35	725	3	44	5526	5906.22
27	577384	1	3	224	2	22	3192	3195.17
28	129080	2	58	2405	3	59	4028	526.012
29	68269	2	54	2234	2	28	2890	9058.48
30	579771	1	46	700	3	54	4402	8979.79
31	339840	3	66	3679	1	14	1457	2535
32	569895	1	42	762	3	52	5436	512.706
33	704716	1	43	287	1	17	484	7742.56
34	913356	3	72	3707	1	4	1221	7241.32
35	478516	2	55	2317	3	56	4705	3264.02
36	834608	1	33	1590	1	3	1074	1163.95
37	248534	1	42	631	5	92	9144	4055.27
38	685231	2	57	2067	3	41	4811	7230.98
39	111466	2	58	2134	2	39	2653	3284.88
40	900311	2	51	2266	3	43	5740	6102.76
41	905843	2	51	2258	1	9	151	8149.56
42	970016	1	31	1676	1	19	678	4985.2
43	633047	2	55	2203	2	31	3507	1085.85
44	990492	1	27	1077	3	41	4540	4495.6
45	763065	3	66	2781	3	47	5276	1774.25
46	976864	1	37	1981	1	19	542	6836.65
47	360868	1	16	421	4	63	6359	1640.13
48	561135	3	72	2923	10	190	18754	4415.17
49	577657	3	62	2905	2	28	3566	7601.57
50	966693	1	14	1351	1	11	1627	2245.74
51	411544	3	89	3545	8	148	15154	3208.97
52	322032	2	55	2290	1	14	1541	8725.63
53	171292	3	84	2744	1	13	1265	576.841
54	497073	1	2	220	1	7	753	8326.06
55	611348	3	72	3151	3	57	4319	1256.31
56	482080	1	6	1663	2	29	3149	1856.3
57	878743	1	21	1398	2	37	3872	6132.4
58	719134	2	53	2397	2	26	3486	3226.09
59	92478	1	21	403	2	32	2121	3484.6
60	575120	1	7	26	3	58	4935	1711.02
61	707535	2	59	2129	1	7	225	569.466
62	102045	1	30	92	3	46	4743	4795.37
63	570012	1	6	1432	1	4	376	3850.36
64	302749	1	41	608	1	16	1277	5262.32
65	373566	2	59	2118	2	37	3000	9434.92
66	265512	2	52	2091	1	13	603	4721.7
67	763330	1	28	782	2	24	2625	6641.65
68	619837	2	55	2188	2	32	3676	594.294
69	829154	2	58	2192	2	24	3365	9983.15
70	683852	2	57	2322	2	21	3018	5843.23
71	714642	3	85	3568	2	32	2905	3937.05
72	997836	2	54	2422	3	43	5183	8228.69
73	958797	2	60	2211	3	52	4363	9557.04
74	520992	1	18	256	1	12	267	6144.13
75	442187	3	95	3163	2	26	3596	6817.01
76	341009	1	9	909	3	60	4995	6225.8
77	701497	1	5	1197	2	40	3918	7814.26
78	426467	2	55	2198	2	33	3400	8062.03
79	854959	1	32	1140	2	39	3786	608.427
80	583719	2	60	2215	2	25	2627	4714.95
81	417662	2	57	2069	3	44	4099	4923.33
82	640595	2	53	2002	3	48	4006	5207.57
83	359240	3	91	2594	3	60	5470	2641.3
84	235355	2	58	2317	1	14	1780	4277.36
85	958411	3	73	3617	1	10	607	1522.37
86	642470	3	91	3976	3	49	4853	6703.73
87	955858	1	49	118	3	57	5601	1294.64
88	893326	1	42	1436	8	158	14260	4925.33
89	998374	2	57	2253	3	47	5485	5656.94
90	613422	3	69	3020	3	53	5188	6568.78
91	140203	2	52	2113	1	11	1790	3188.15
92	324113	2	54	2107	3	42	5782	259.951
93	900154	3	97	3440	4	65	6320	3816.29
94	37103	2	59	2164	3	51	5140	5676.65
95	741206	2	52	2444	2	25	2043	7427.56
96	497277	3	93	3490	3	56	5098	5445.72
97	625309	2	53	2422	3	50	5923	6992.12
98	653308	1	39	550	2	25	2810	2563.27
99	91710	2	52	2473	1	13	478	4373.36
100	311809	2	55	2054	2	23	3970	2342.89
